email,password,name,role
sim.user.01@iitjammu.ac.in,Welcome#2001,Sim Participant 01,normal_user
sim.user.02@iitjammu.ac.in,Welcome#2002,Sim Participant 02,normal_user
sim.user.03@iitjammu.ac.in,Welcome#2003,Sim Participant 03,normal_user
sim.user.04@iitjammu.ac.in,Welcome#2004,Sim Participant 04,normal_user
sim.user.05@iitjammu.ac.in,Welcome#2005,Sim Participant 05,normal_user
sim.user.06@iitjammu.ac.in,Welcome#2006,Sim Participant 06,normal_user
sim.user.07@iitjammu.ac.in,Welcome#2007,Sim Participant 07,normal_user
sim.user.08@iitjammu.ac.in,Welcome#2008,Sim Participant 08,normal_user
sim.user.09@iitjammu.ac.in,Welcome#2009,Sim Participant 09,normal_user
sim.user.10@iitjammu.ac.in,Welcome#2010,Sim Participant 10,normal_user
sim.user.11@iitjammu.ac.in,Welcome#2011,Sim Participant 11,normal_user
sim.user.12@iitjammu.ac.in,Welcome#2012,Sim Participant 12,normal_user
sim.user.13@iitjammu.ac.in,Welcome#2013,Sim Participant 13,normal_user
sim.user.14@iitjammu.ac.in,Welcome#2014,Sim Participant 14,normal_user
sim.user.15@iitjammu.ac.in,Welcome#2015,Sim Participant 15,normal_user
sim.user.16@iitjammu.ac.in,Welcome#2016,Sim Participant 16,normal_user
sim.user.17@iitjammu.ac.in,Welcome#2017,Sim Participant 17,normal_user
sim.user.18@iitjammu.ac.in,Welcome#2018,Sim Participant 18,normal_user
sim.user.19@iitjammu.ac.in,Welcome#2019,Sim Participant 19,normal_user
sim.user.20@iitjammu.ac.in,Welcome#2020,Sim Participant 20,normal_user
sim.user.21@iitjammu.ac.in,Welcome#2021,Sim Participant 21,normal_user
sim.user.22@iitjammu.ac.in,Welcome#2022,Sim Participant 22,normal_user
sim.user.23@iitjammu.ac.in,Welcome#2023,Sim Participant 23,normal_user
sim.user.24@iitjammu.ac.in,Welcome#2024,Sim Participant 24,normal_user
sim.user.25@iitjammu.ac.in,Welcome#2025,Sim Participant 25,normal_user
sim.user.26@iitjammu.ac.in,Welcome#2026,Sim Participant 26,normal_user
sim.user.27@iitjammu.ac.in,Welcome#2027,Sim Participant 27,normal_user
sim.user.28@iitjammu.ac.in,Welcome#2028,Sim Participant 28,normal_user
sim.user.29@iitjammu.ac.in,Welcome#2029,Sim Participant 29,normal_user
sim.user.30@iitjammu.ac.in,Welcome#2030,Sim Participant 30,normal_user
sim.user.31@iitjammu.ac.in,Welcome#2031,Sim Participant 31,normal_user
sim.user.32@iitjammu.ac.in,Welcome#2032,Sim Participant 32,normal_user
sim.user.33@iitjammu.ac.in,Welcome#2033,Sim Participant 33,normal_user
sim.user.34@iitjammu.ac.in,Welcome#2034,Sim Participant 34,normal_user
sim.user.35@iitjammu.ac.in,Welcome#2035,Sim Participant 35,normal_user
sim.user.36@iitjammu.ac.in,Welcome#2036,Sim Participant 36,normal_user
sim.user.37@iitjammu.ac.in,Welcome#2037,Sim Participant 37,normal_user
sim.user.38@iitjammu.ac.in,Welcome#2038,Sim Participant 38,normal_user
sim.user.39@iitjammu.ac.in,Welcome#2039,Sim Participant 39,normal_user
sim.user.40@iitjammu.ac.in,Welcome#2040,Sim Participant 40,normal_user
sim.user.41@iitjammu.ac.in,Welcome#2041,Sim Participant 41,normal_user
sim.user.42@iitjammu.ac.in,Welcome#2042,Sim Participant 42,normal_user
sim.user.43@iitjammu.ac.in,Welcome#2043,Sim Participant 43,normal_user
sim.user.44@iitjammu.ac.in,Welcome#2044,Sim Participant 44,normal_user
sim.user.45@iitjammu.ac.in,Welcome#2045,Sim Participant 45,normal_user
sim.user.46@iitjammu.ac.in,Welcome#2046,Sim Participant 46,staff
sim.user.47@iitjammu.ac.in,Welcome#2047,Sim Participant 47,staff
sim.user.48@iitjammu.ac.in,Welcome#2048,Sim Participant 48,staff
sim.user.49@iitjammu.ac.in,Welcome#2049,Sim Participant 49,coordinator
sim.user.50@iitjammu.ac.in,Welcome#2050,Sim Participant 50,coordinator
